experiment,n_train,rep,method,error
sample,3,29,2DLDA,0.46562499999999996
sample,3,29,Nearest centroid,0.43125
sample,3,30,L-2DLDA,0.503125
sample,3,30,2DLDA,0.53125
sample,3,30,Nearest centroid,0.5125
sample,3,31,L-2DLDA,0.484375
sample,3,31,2DLDA,0.503125
sample,3,31,Nearest centroid,0.4125
sample,3,32,L-2DLDA,0.534375
sample,3,32,2DLDA,0.48124999999999996
sample,3,32,Nearest centroid,0.46875
sample,3,33,L-2DLDA,0.42500000000000004
sample,3,33,2DLDA,0.490625
sample,3,33,Nearest centroid,0.484375
sample,3,34,L-2DLDA,0.49375
sample,3,34,2DLDA,0.48124999999999996
sample,3,34,Nearest centroid,0.44999999999999996
sample,3,35,L-2DLDA,0.37812500000000004
sample,3,35,2DLDA,0.49375
sample,3,35,Nearest centroid,0.49375
sample,3,36,L-2DLDA,0.490625
sample,3,36,2DLDA,0.46562499999999996
sample,3,36,Nearest centroid,0.4625
sample,3,37,L-2DLDA,0.22499999999999998
sample,3,37,2DLDA,0.490625
sample,3,37,Nearest centroid,0.453125
sample,3,38,L-2DLDA,0.4
sample,3,38,2DLDA,0.475
sample,3,38,Nearest centroid,0.446875
sample,3,39,L-2DLDA,0.36875
sample,3,39,2DLDA,0.453125
sample,3,39,Nearest centroid,0.40937500000000004
sample,3,40,L-2DLDA,0.38749999999999996
sample,3,40,2DLDA,0.525
sample,3,40,Nearest centroid,0.40937500000000004
sample,3,41,L-2DLDA,0.515625
sample,3,41,2DLDA,0.48750000000000004
sample,3,41,Nearest centroid,0.49687499999999996
sample,3,42,L-2DLDA,0.5375
sample,3,42,2DLDA,0.51875
sample,3,42,Nearest centroid,0.46875
sample,3,43,L-2DLDA,0.521875
sample,3,43,2DLDA,0.478125
sample,3,43,Nearest centroid,0.446875
sample,3,44,L-2DLDA,0.51875
sample,3,44,2DLDA,0.49687499999999996
sample,3,44,Nearest centroid,0.484375
sample,3,45,L-2DLDA,0.540625
sample,3,45,2DLDA,0.5
sample,3,45,Nearest centroid,0.44999999999999996
sample,3,46,L-2DLDA,0.49375
sample,3,46,2DLDA,0.5
sample,3,46,Nearest centroid,0.44999999999999996
sample,3,47,L-2DLDA,0.47187500000000004
sample,3,47,2DLDA,0.44999999999999996
sample,3,47,Nearest centroid,0.453125
sample,3,48,L-2DLDA,0.49375
sample,3,48,2DLDA,0.49687499999999996
sample,3,48,Nearest centroid,0.478125
sample,3,49,L-2DLDA,0.525
sample,3,49,2DLDA,0.50625
sample,3,49,Nearest centroid,0.459375
sample,5,0,L-2DLDA,0.25312500000000004
sample,5,0,2DLDA,0.5
sample,5,0,Nearest centroid,0.459375
sample,5,1,L-2DLDA,0.23124999999999996
sample,5,1,2DLDA,0.46562499999999996
sample,5,1,Nearest centroid,0.44062500000000004
sample,5,2,L-2DLDA,0.296875
sample,5,2,2DLDA,0.48750000000000004
sample,5,2,Nearest centroid,0.43437499999999996
sample,5,3,L-2DLDA,0.321875
sample,5,3,2DLDA,0.45625000000000004
sample,5,3,Nearest centroid,0.421875
sample,5,4,L-2DLDA,0.428125
sample,5,4,2DLDA,0.503125
sample,5,4,Nearest centroid,0.43125
sample,5,5,L-2DLDA,0.475
sample,5,5,2DLDA,0.44375
sample,5,5,Nearest centroid,0.4375
sample,5,6,L-2DLDA,0.34687500000000004
sample,5,6,2DLDA,0.484375
sample,5,6,Nearest centroid,0.41874999999999996
sample,5,7,L-2DLDA,0.46562499999999996
sample,5,7,2DLDA,0.41874999999999996
sample,5,7,Nearest centroid,0.446875
sample,5,8,L-2DLDA,0.5375
sample,5,8,2DLDA,0.528125
sample,5,8,Nearest centroid,0.503125
sample,5,9,L-2DLDA,0.37187499999999996
sample,5,9,2DLDA,0.45625000000000004
sample,5,9,Nearest centroid,0.390625
sample,5,10,L-2DLDA,0.49375
sample,5,10,2DLDA,0.478125
sample,5,10,Nearest centroid,0.446875
sample,5,11,L-2DLDA,0.37187499999999996
sample,5,11,2DLDA,0.515625
sample,5,11,Nearest centroid,0.446875
sample,5,12,L-2DLDA,0.47187500000000004
sample,5,12,2DLDA,0.48124999999999996
sample,5,12,Nearest centroid,0.4375
sample,5,13,L-2DLDA,0.37187499999999996
sample,5,13,2DLDA,0.459375
sample,5,13,Nearest centroid,0.4375
sample,5,14,L-2DLDA,0.475
sample,5,14,2DLDA,0.503125
sample,5,14,Nearest centroid,0.48124999999999996
sample,5,15,L-2DLDA,0.453125
sample,5,15,2DLDA,0.534375
sample,5,15,Nearest centroid,0.44375
sample,5,16,L-2DLDA,0.365625
sample,5,16,2DLDA,0.46875
sample,5,16,Nearest centroid,0.421875
sample,5,17,L-2DLDA,0.290625
sample,5,17,2DLDA,0.5375
sample,5,17,Nearest centroid,0.46562499999999996
sample,5,18,L-2DLDA,0.421875
sample,5,18,2DLDA,0.5375
sample,5,18,Nearest centroid,0.44999999999999996
sample,5,19,L-2DLDA,0.19374999999999998
sample,5,19,2DLDA,0.53125
sample,5,19,Nearest centroid,0.44999999999999996
sample,5,20,L-2DLDA,0.490625
sample,5,20,2DLDA,0.484375
sample,5,20,Nearest centroid,0.475
sample,5,21,L-2DLDA,0.421875
sample,5,21,2DLDA,0.534375
sample,5,21,Nearest centroid,0.459375
sample,5,22,L-2DLDA,0.27812499999999996
sample,5,22,2DLDA,0.47187500000000004
sample,5,22,Nearest centroid,0.42500000000000004
sample,5,23,L-2DLDA,0.29374999999999996
sample,5,23,2DLDA,0.521875
sample,5,23,Nearest centroid,0.49687499999999996
sample,5,24,L-2DLDA,0.58125
sample,5,24,2DLDA,0.5125
sample,5,24,Nearest centroid,0.46875
sample,5,25,L-2DLDA,0.265625
sample,5,25,2DLDA,0.509375
sample,5,25,Nearest centroid,0.44999999999999996
sample,5,26,L-2DLDA,0.44062500000000004
sample,5,26,2DLDA,0.525
sample,5,26,Nearest centroid,0.4375
sample,5,27,L-2DLDA,0.509375
sample,5,27,2DLDA,0.525
sample,5,27,Nearest centroid,0.484375
sample,5,28,L-2DLDA,0.29374999999999996
sample,5,28,2DLDA,0.5
sample,5,28,Nearest centroid,0.415625
sample,5,29,L-2DLDA,0.446875
sample,5,29,2DLDA,0.48750000000000004
sample,5,29,Nearest centroid,0.446875
sample,5,30,L-2DLDA,0.49687499999999996
sample,5,30,2DLDA,0.53125
sample,5,30,Nearest centroid,0.421875
sample,5,31,L-2DLDA,0.17812499999999998
sample,5,31,2DLDA,0.51875
sample,5,31,Nearest centroid,0.446875
sample,5,32,L-2DLDA,0.50625
sample,5,32,2DLDA,0.490625
sample,5,32,Nearest centroid,0.446875
sample,5,33,L-2DLDA,0.42500000000000004
sample,5,33,2DLDA,0.490625
sample,5,33,Nearest centroid,0.4375
sample,5,34,L-2DLDA,0.478125
sample,5,34,2DLDA,0.46875
sample,5,34,Nearest centroid,0.40625
sample,5,35,L-2DLDA,0.48750000000000004
sample,5,35,2DLDA,0.48750000000000004
sample,5,35,Nearest centroid,0.46875
sample,5,36,L-2DLDA,0.12187499999999996
sample,5,36,2DLDA,0.509375
sample,5,36,Nearest centroid,0.44062500000000004
sample,5,37,L-2DLDA,0.553125
sample,5,37,2DLDA,0.51875
sample,5,37,Nearest centroid,0.4375
sample,5,38,L-2DLDA,0.34375
sample,5,38,2DLDA,0.484375
sample,5,38,Nearest centroid,0.37812500000000004
sample,5,39,L-2DLDA,0.2875
sample,5,39,2DLDA,0.44062500000000004
sample,5,39,Nearest centroid,0.4125
sample,5,40,L-2DLDA,0.44999999999999996
sample,5,40,2DLDA,0.46875
sample,5,40,Nearest centroid,0.459375
sample,5,41,L-2DLDA,0.265625
sample,5,41,2DLDA,0.43125
sample,5,41,Nearest centroid,0.415625
sample,5,42,L-2DLDA,0.46875
sample,5,42,2DLDA,0.46562499999999996
sample,5,42,Nearest centroid,0.46875
sample,5,43,L-2DLDA,0.303125
sample,5,43,2DLDA,0.50625
sample,5,43,Nearest centroid,0.40312499999999996
sample,5,44,L-2DLDA,0.5875
sample,5,44,2DLDA,0.48124999999999996
sample,5,44,Nearest centroid,0.446875
sample,5,45,L-2DLDA,0.3125
sample,5,45,2DLDA,0.45625000000000004
sample,5,45,Nearest centroid,0.390625
sample,5,46,L-2DLDA,0.48124999999999996
sample,5,46,2DLDA,0.475
sample,5,46,Nearest centroid,0.44062500000000004
sample,5,47,L-2DLDA,0.54375
sample,5,47,2DLDA,0.540625
sample,5,47,Nearest centroid,0.503125
sample,5,48,L-2DLDA,0.396875
sample,5,48,2DLDA,0.478125
sample,5,48,Nearest centroid,0.40312499999999996
sample,5,49,L-2DLDA,0.334375
sample,5,49,2DLDA,0.51875
sample,5,49,Nearest centroid,0.43437499999999996
sample,8,0,L-2DLDA,0.046875
sample,8,0,2DLDA,0.46562499999999996
sample,8,0,Nearest centroid,0.42500000000000004
sample,8,1,L-2DLDA,0.09687500000000004
sample,8,1,2DLDA,0.4625
sample,8,1,Nearest centroid,0.446875
sample,8,2,L-2DLDA,0.06562500000000004
sample,8,2,2DLDA,0.46562499999999996
sample,8,2,Nearest centroid,0.4
sample,8,3,L-2DLDA,0.10312500000000002
sample,8,3,2DLDA,0.525
sample,8,3,Nearest centroid,0.38125
sample,8,4,L-2DLDA,0.359375
sample,8,4,2DLDA,0.475
sample,8,4,Nearest centroid,0.40625
sample,8,5,L-2DLDA,0.42500000000000004
sample,8,5,2DLDA,0.49375
sample,8,5,Nearest centroid,0.40625
sample,8,6,L-2DLDA,0.375
sample,8,6,2DLDA,0.45625000000000004
sample,8,6,Nearest centroid,0.39375000000000004
sample,8,7,L-2DLDA,0.0
sample,8,7,2DLDA,0.49375
sample,8,7,Nearest centroid,0.39375000000000004
sample,8,8,L-2DLDA,0.46875
sample,8,8,2DLDA,0.509375
sample,8,8,Nearest centroid,0.42500000000000004
sample,8,9,L-2DLDA,0.09999999999999998
sample,8,9,2DLDA,0.5
sample,8,9,Nearest centroid,0.44375
sample,8,10,L-2DLDA,0.0031250000000000444
sample,8,10,2DLDA,0.490625
sample,8,10,Nearest centroid,0.453125
sample,8,11,L-2DLDA,0.39375000000000004
sample,8,11,2DLDA,0.51875
sample,8,11,Nearest centroid,0.428125
sample,8,12,L-2DLDA,0.475
sample,8,12,2DLDA,0.490625
sample,8,12,Nearest centroid,0.37812500000000004
sample,8,13,L-2DLDA,0.40625
sample,8,13,2DLDA,0.53125
sample,8,13,Nearest centroid,0.44375
sample,8,14,L-2DLDA,0.17812499999999998
sample,8,14,2DLDA,0.48750000000000004
sample,8,14,Nearest centroid,0.428125
sample,8,15,L-2DLDA,0.015625
sample,8,15,2DLDA,0.446875
sample,8,15,Nearest centroid,0.40937500000000004
sample,8,16,L-2DLDA,0.046875
sample,8,16,2DLDA,0.475
sample,8,16,Nearest centroid,0.421875
sample,8,17,L-2DLDA,0.08437499999999998
sample,8,17,2DLDA,0.490625
sample,8,17,Nearest centroid,0.421875
sample,8,18,L-2DLDA,0.30000000000000004
sample,8,18,2DLDA,0.521875
sample,8,18,Nearest centroid,0.421875
sample,8,19,L-2DLDA,0.48124999999999996
sample,8,19,2DLDA,0.49687499999999996
sample,8,19,Nearest centroid,0.43125
sample,8,20,L-2DLDA,0.012499999999999956
sample,8,20,2DLDA,0.421875
sample,8,20,Nearest centroid,0.37187499999999996
sample,8,21,L-2DLDA,0.47187500000000004
sample,8,21,2DLDA,0.509375
sample,8,21,Nearest centroid,0.446875
sample,8,22,L-2DLDA,0.09062499999999996
sample,8,22,2DLDA,0.48124999999999996
sample,8,22,Nearest centroid,0.43125
sample,8,23,L-2DLDA,0.35
sample,8,23,2DLDA,0.484375
sample,8,23,Nearest centroid,0.4375
sample,8,24,L-2DLDA,0.20625000000000004
sample,8,24,2DLDA,0.540625
sample,8,24,Nearest centroid,0.4375
sample,8,25,L-2DLDA,0.043749999999999956
sample,8,25,2DLDA,0.43125
sample,8,25,Nearest centroid,0.4
sample,8,26,L-2DLDA,0.012499999999999956
sample,8,26,2DLDA,0.45625000000000004
sample,8,26,Nearest centroid,0.40937500000000004
sample,8,27,L-2DLDA,0.11875000000000002
sample,8,27,2DLDA,0.490625
sample,8,27,Nearest centroid,0.40312499999999996
sample,8,28,L-2DLDA,0.28437500000000004
sample,8,28,2DLDA,0.484375
sample,8,28,Nearest centroid,0.453125
sample,8,29,L-2DLDA,0.11562499999999998
sample,8,29,2DLDA,0.521875
sample,8,29,Nearest centroid,0.4125
sample,8,30,L-2DLDA,0.509375
sample,8,30,2DLDA,0.48750000000000004
sample,8,30,Nearest centroid,0.384375
sample,8,31,L-2DLDA,0.359375
sample,8,31,2DLDA,0.48124999999999996
sample,8,31,Nearest centroid,0.41874999999999996
sample,8,32,L-2DLDA,0.24687499999999996
sample,8,32,2DLDA,0.490625
sample,8,32,Nearest centroid,0.428125
sample,8,33,L-2DLDA,0.0625
sample,8,33,2DLDA,0.475
sample,8,33,Nearest centroid,0.384375
sample,8,34,L-2DLDA,0.21250000000000002
sample,8,34,2DLDA,0.484375
sample,8,34,Nearest centroid,0.428125
sample,8,35,L-2DLDA,0.559375
sample,8,35,2DLDA,0.559375
sample,8,35,Nearest centroid,0.46875
sample,8,36,L-2DLDA,0.51875
sample,8,36,2DLDA,0.5125
sample,8,36,Nearest centroid,0.44062500000000004
sample,8,37,L-2DLDA,0.421875
sample,8,37,2DLDA,0.490625
sample,8,37,Nearest centroid,0.428125
sample,8,38,L-2DLDA,0.028124999999999956
sample,8,38,2DLDA,0.459375
sample,8,38,Nearest centroid,0.37812500000000004
sample,8,39,L-2DLDA,0.0031250000000000444
sample,8,39,2DLDA,0.4375
sample,8,39,Nearest centroid,0.390625
sample,8,40,L-2DLDA,0.19062500000000004
sample,8,40,2DLDA,0.4625
sample,8,40,Nearest centroid,0.37187499999999996
sample,8,41,L-2DLDA,0.23124999999999996
sample,8,41,2DLDA,0.515625
sample,8,41,Nearest centroid,0.48124999999999996
sample,8,42,L-2DLDA,0.171875
sample,8,42,2DLDA,0.46562499999999996
sample,8,42,Nearest centroid,0.40625
sample,8,43,L-2DLDA,0.38125
sample,8,43,2DLDA,0.5
sample,8,43,Nearest centroid,0.41874999999999996
sample,8,44,L-2DLDA,0.059374999999999956
sample,8,44,2DLDA,0.45625000000000004
sample,8,44,Nearest centroid,0.384375
sample,8,45,L-2DLDA,0.13749999999999996
sample,8,45,2DLDA,0.475
sample,8,45,Nearest centroid,0.38749999999999996
sample,8,46,L-2DLDA,0.0031250000000000444
sample,8,46,2DLDA,0.5
sample,8,46,Nearest centroid,0.4125
sample,8,47,L-2DLDA,0.44062500000000004
sample,8,47,2DLDA,0.44375
sample,8,47,Nearest centroid,0.359375
sample,8,48,L-2DLDA,0.22812500000000002
sample,8,48,2DLDA,0.48124999999999996
sample,8,48,Nearest centroid,0.42500000000000004
sample,8,49,L-2DLDA,0.25
sample,8,49,2DLDA,0.49375
sample,8,49,Nearest centroid,0.43437499999999996
sample,12,0,L-2DLDA,0.0031250000000000444
sample,12,0,2DLDA,0.475
sample,12,0,Nearest centroid,0.35624999999999996
sample,12,1,L-2DLDA,0.006249999999999978
sample,12,1,2DLDA,0.50625
sample,12,1,Nearest centroid,0.43437499999999996
sample,12,2,L-2DLDA,0.006249999999999978
sample,12,2,2DLDA,0.459375
sample,12,2,Nearest centroid,0.38125
sample,12,3,L-2DLDA,0.0
sample,12,3,2DLDA,0.459375
sample,12,3,Nearest centroid,0.390625
sample,12,4,L-2DLDA,0.0
sample,12,4,2DLDA,0.48750000000000004
sample,12,4,Nearest centroid,0.359375
sample,12,5,L-2DLDA,0.0031250000000000444
sample,12,5,2DLDA,0.484375
sample,12,5,Nearest centroid,0.421875
sample,12,6,L-2DLDA,0.0
sample,12,6,2DLDA,0.503125
sample,12,6,Nearest centroid,0.35624999999999996
sample,12,7,L-2DLDA,0.0
sample,12,7,2DLDA,0.55
sample,12,7,Nearest centroid,0.43125
sample,12,8,L-2DLDA,0.0
sample,12,8,2DLDA,0.428125
sample,12,8,Nearest centroid,0.328125
sample,12,9,L-2DLDA,0.13437500000000002
sample,12,9,2DLDA,0.49375
sample,12,9,Nearest centroid,0.4375
sample,12,10,L-2DLDA,0.0
sample,12,10,2DLDA,0.43125
sample,12,10,Nearest centroid,0.36875
sample,12,11,L-2DLDA,0.012499999999999956
sample,12,11,2DLDA,0.49375
sample,12,11,Nearest centroid,0.40625
sample,12,12,L-2DLDA,0.0
sample,12,12,2DLDA,0.478125
sample,12,12,Nearest centroid,0.4
sample,12,13,L-2DLDA,0.0031250000000000444
sample,12,13,2DLDA,0.46562499999999996
sample,12,13,Nearest centroid,0.40937500000000004
sample,12,14,L-2DLDA,0.012499999999999956
sample,12,14,2DLDA,0.540625
sample,12,14,Nearest centroid,0.396875
sample,12,15,L-2DLDA,0.0031250000000000444
sample,12,15,2DLDA,0.44999999999999996
sample,12,15,Nearest centroid,0.38125
sample,12,16,L-2DLDA,0.0
sample,12,16,2DLDA,0.47187500000000004
sample,12,16,Nearest centroid,0.38125
sample,12,17,L-2DLDA,0.012499999999999956
sample,12,17,2DLDA,0.46875
sample,12,17,Nearest centroid,0.37812500000000004
sample,12,18,L-2DLDA,0.0
sample,12,18,2DLDA,0.46562499999999996
sample,12,18,Nearest centroid,0.384375
sample,12,19,L-2DLDA,0.0031250000000000444
sample,12,19,2DLDA,0.46562499999999996
sample,12,19,Nearest centroid,0.415625
sample,12,20,L-2DLDA,0.0031250000000000444
sample,12,20,2DLDA,0.43125
sample,12,20,Nearest centroid,0.421875
sample,12,21,L-2DLDA,0.0
sample,12,21,2DLDA,0.50625
sample,12,21,Nearest centroid,0.37812500000000004
sample,12,22,L-2DLDA,0.006249999999999978
sample,12,22,2DLDA,0.478125
sample,12,22,Nearest centroid,0.4
sample,12,23,L-2DLDA,0.0
sample,12,23,2DLDA,0.446875
sample,12,23,Nearest centroid,0.40625
sample,12,24,L-2DLDA,0.0
sample,12,24,2DLDA,0.515625
sample,12,24,Nearest centroid,0.44375
sample,12,25,L-2DLDA,0.006249999999999978
sample,12,25,2DLDA,0.48750000000000004
sample,12,25,Nearest centroid,0.42500000000000004
sample,12,26,L-2DLDA,0.012499999999999956
sample,12,26,2DLDA,0.5
sample,12,26,Nearest centroid,0.38749999999999996
sample,12,27,L-2DLDA,0.0
sample,12,27,2DLDA,0.484375
sample,12,27,Nearest centroid,0.396875
sample,12,28,L-2DLDA,0.0
sample,12,28,2DLDA,0.540625
sample,12,28,Nearest centroid,0.4
sample,12,29,L-2DLDA,0.009375000000000022
sample,12,29,2DLDA,0.490625
sample,12,29,Nearest centroid,0.41874999999999996
sample,12,30,L-2DLDA,0.0
sample,12,30,2DLDA,0.50625
sample,12,30,Nearest centroid,0.46562499999999996
sample,12,31,L-2DLDA,0.0
sample,12,31,2DLDA,0.49687499999999996
sample,12,31,Nearest centroid,0.4
sample,12,32,L-2DLDA,0.021874999999999978
sample,12,32,2DLDA,0.46562499999999996
sample,12,32,Nearest centroid,0.375
sample,12,33,L-2DLDA,0.0031250000000000444
sample,12,33,2DLDA,0.49375
sample,12,33,Nearest centroid,0.4375
sample,12,34,L-2DLDA,0.0
sample,12,34,2DLDA,0.459375
sample,12,34,Nearest centroid,0.35
sample,12,35,L-2DLDA,0.0
sample,12,35,2DLDA,0.41874999999999996
sample,12,35,Nearest centroid,0.428125
sample,12,36,L-2DLDA,0.018750000000000044
sample,12,36,2DLDA,0.47187500000000004
sample,12,36,Nearest centroid,0.34687500000000004
sample,12,37,L-2DLDA,0.0
sample,12,37,2DLDA,0.49375
sample,12,37,Nearest centroid,0.37187499999999996
sample,12,38,L-2DLDA,0.0031250000000000444
sample,12,38,2DLDA,0.540625
sample,12,38,Nearest centroid,0.396875
sample,12,39,L-2DLDA,0.0
sample,12,39,2DLDA,0.44062500000000004
sample,12,39,Nearest centroid,0.40937500000000004
sample,12,40,L-2DLDA,0.0031250000000000444
sample,12,40,2DLDA,0.51875
sample,12,40,Nearest centroid,0.4375
sample,12,41,L-2DLDA,0.0
sample,12,41,2DLDA,0.46875
sample,12,41,Nearest centroid,0.415625
sample,12,42,L-2DLDA,0.0625
sample,12,42,2DLDA,0.49687499999999996
sample,12,42,Nearest centroid,0.40625
sample,12,43,L-2DLDA,0.04062500000000002
sample,12,43,2DLDA,0.55
sample,12,43,Nearest centroid,0.421875
sample,12,44,L-2DLDA,0.009375000000000022
sample,12,44,2DLDA,0.521875
sample,12,44,Nearest centroid,0.42500000000000004
sample,12,45,L-2DLDA,0.0
sample,12,45,2DLDA,0.48750000000000004
sample,12,45,Nearest centroid,0.40937500000000004
sample,12,46,L-2DLDA,0.1875
sample,12,46,2DLDA,0.5
sample,12,46,Nearest centroid,0.459375
sample,12,47,L-2DLDA,0.0
sample,12,47,2DLDA,0.525
sample,12,47,Nearest centroid,0.47187500000000004
sample,12,48,L-2DLDA,0.006249999999999978
sample,12,48,2DLDA,0.5125
sample,12,48,Nearest centroid,0.43437499999999996
sample,12,49,L-2DLDA,0.0031250000000000444
sample,12,49,2DLDA,0.44062500000000004
sample,12,49,Nearest centroid,0.40937500000000004
sample,20,0,L-2DLDA,0.0
sample,20,0,2DLDA,0.509375
sample,20,0,Nearest centroid,0.384375
sample,20,1,L-2DLDA,0.0
sample,20,1,2DLDA,0.44062500000000004
sample,20,1,Nearest centroid,0.33125000000000004
sample,20,2,L-2DLDA,0.0
sample,20,2,2DLDA,0.40625
sample,20,2,Nearest centroid,0.40312499999999996
sample,20,3,L-2DLDA,0.0
sample,20,3,2DLDA,0.446875
sample,20,3,Nearest centroid,0.4125
sample,20,4,L-2DLDA,0.0
sample,20,4,2DLDA,0.553125
sample,20,4,Nearest centroid,0.375
sample,20,5,L-2DLDA,0.0
sample,20,5,2DLDA,0.475
sample,20,5,Nearest centroid,0.38125
sample,20,6,L-2DLDA,0.0
sample,20,6,2DLDA,0.540625
sample,20,6,Nearest centroid,0.38749999999999996
sample,20,7,L-2DLDA,0.0
sample,20,7,2DLDA,0.44999999999999996
sample,20,7,Nearest centroid,0.334375
sample,20,8,L-2DLDA,0.0
sample,20,8,2DLDA,0.484375
sample,20,8,Nearest centroid,0.375
sample,20,9,L-2DLDA,0.0
sample,20,9,2DLDA,0.4375
sample,20,9,Nearest centroid,0.37812500000000004
sample,20,10,L-2DLDA,0.0
sample,20,10,2DLDA,0.4375
sample,20,10,Nearest centroid,0.35624999999999996
sample,20,11,L-2DLDA,0.0
sample,20,11,2DLDA,0.478125
sample,20,11,Nearest centroid,0.37812500000000004
sample,20,12,L-2DLDA,0.0
sample,20,12,2DLDA,0.353125
sample,20,12,Nearest centroid,0.35624999999999996
sample,20,13,L-2DLDA,0.0
sample,20,13,2DLDA,0.478125
sample,20,13,Nearest centroid,0.37187499999999996
sample,20,14,L-2DLDA,0.0
sample,20,14,2DLDA,0.5
sample,20,14,Nearest centroid,0.40625
sample,20,15,L-2DLDA,0.0
sample,20,15,2DLDA,0.40312499999999996
sample,20,15,Nearest centroid,0.296875
sample,20,16,L-2DLDA,0.0
sample,20,16,2DLDA,0.47187500000000004
sample,20,16,Nearest centroid,0.328125
sample,20,17,L-2DLDA,0.0
sample,20,17,2DLDA,0.5
sample,20,17,Nearest centroid,0.415625
sample,20,18,L-2DLDA,0.0
sample,20,18,2DLDA,0.415625
sample,20,18,Nearest centroid,0.328125
sample,20,19,L-2DLDA,0.0
sample,20,19,2DLDA,0.478125
sample,20,19,Nearest centroid,0.421875
sample,20,20,L-2DLDA,0.0
sample,20,20,2DLDA,0.39375000000000004
sample,20,20,Nearest centroid,0.375
sample,20,21,L-2DLDA,0.0
sample,20,21,2DLDA,0.37812500000000004
sample,20,21,Nearest centroid,0.36875
sample,20,22,L-2DLDA,0.0
sample,20,22,2DLDA,0.521875
sample,20,22,Nearest centroid,0.390625
sample,20,23,L-2DLDA,0.0
sample,20,23,2DLDA,0.46562499999999996
sample,20,23,Nearest centroid,0.4
sample,20,24,L-2DLDA,0.0
sample,20,24,2DLDA,0.4375
sample,20,24,Nearest centroid,0.359375
sample,20,25,L-2DLDA,0.0
sample,20,25,2DLDA,0.37187499999999996
sample,20,25,Nearest centroid,0.32499999999999996
sample,20,26,L-2DLDA,0.0
sample,20,26,2DLDA,0.44999999999999996
