experiment,dim,features,rep,method,error
dimension,10,100,16,L-2DLDA,0.0
dimension,10,100,16,2DLDA,0.050000000000000044
dimension,10,100,16,Nearest centroid,0.054166666666666696
dimension,10,100,16,Ridge,0.03749999999999998
dimension,10,100,17,L-2DLDA,0.0
dimension,10,100,17,2DLDA,0.1333333333333333
dimension,10,100,17,Nearest centroid,0.1333333333333333
dimension,10,100,17,Ridge,0.025000000000000022
dimension,10,100,18,L-2DLDA,0.0
dimension,10,100,18,2DLDA,0.2666666666666667
dimension,10,100,18,Nearest centroid,0.22083333333333333
dimension,10,100,18,Ridge,0.09999999999999998
dimension,10,100,19,L-2DLDA,0.0
dimension,10,100,19,2DLDA,0.05833333333333335
dimension,10,100,19,Nearest centroid,0.07916666666666672
dimension,10,100,19,Ridge,0.07916666666666672
dimension,10,100,20,L-2DLDA,0.0
dimension,10,100,20,2DLDA,0.24583333333333335
dimension,10,100,20,Nearest centroid,0.24583333333333335
dimension,10,100,20,Ridge,0.07916666666666672
dimension,10,100,21,L-2DLDA,0.0
dimension,10,100,21,2DLDA,0.2666666666666667
dimension,10,100,21,Nearest centroid,0.2416666666666667
dimension,10,100,21,Ridge,0.04583333333333328
dimension,10,100,22,L-2DLDA,0.0
dimension,10,100,22,2DLDA,0.02083333333333337
dimension,10,100,22,Nearest centroid,0.02083333333333337
dimension,10,100,22,Ridge,0.004166666666666652
dimension,10,100,23,L-2DLDA,0.0
dimension,10,100,23,2DLDA,0.18333333333333335
dimension,10,100,23,Nearest centroid,0.10833333333333328
dimension,10,100,23,Ridge,0.025000000000000022
dimension,10,100,24,L-2DLDA,0.0
dimension,10,100,24,2DLDA,0.15000000000000002
dimension,10,100,24,Nearest centroid,0.1958333333333333
dimension,10,100,24,Ridge,0.10416666666666663
dimension,10,100,25,L-2DLDA,0.0
dimension,10,100,25,2DLDA,0.24583333333333335
dimension,10,100,25,Nearest centroid,0.20833333333333337
dimension,10,100,25,Ridge,0.125
dimension,10,100,26,L-2DLDA,0.0
dimension,10,100,26,2DLDA,0.1333333333333333
dimension,10,100,26,Nearest centroid,0.1166666666666667
dimension,10,100,26,Ridge,0.05833333333333335
dimension,10,100,27,L-2DLDA,0.0
dimension,10,100,27,2DLDA,0.1166666666666667
dimension,10,100,27,Nearest centroid,0.10416666666666663
dimension,10,100,27,Ridge,0.008333333333333304
dimension,10,100,28,L-2DLDA,0.0
dimension,10,100,28,2DLDA,0.025000000000000022
dimension,10,100,28,Nearest centroid,0.04583333333333328
dimension,10,100,28,Ridge,0.03749999999999998
dimension,10,100,29,L-2DLDA,0.0
dimension,10,100,29,2DLDA,0.02083333333333337
dimension,10,100,29,Nearest centroid,0.033333333333333326
dimension,10,100,29,Ridge,0.029166666666666674
dimension,10,100,30,L-2DLDA,0.0
dimension,10,100,30,2DLDA,0.08750000000000002
dimension,10,100,30,Nearest centroid,0.06666666666666665
dimension,10,100,30,Ridge,0.04583333333333328
dimension,10,100,31,L-2DLDA,0.0
dimension,10,100,31,2DLDA,0.16666666666666663
dimension,10,100,31,Nearest centroid,0.17500000000000004
dimension,10,100,31,Ridge,0.09583333333333333
dimension,10,100,32,L-2DLDA,0.0
dimension,10,100,32,2DLDA,0.20416666666666672
dimension,10,100,32,Nearest centroid,0.15000000000000002
dimension,10,100,32,Ridge,0.0625
dimension,10,100,33,L-2DLDA,0.0
dimension,10,100,33,2DLDA,0.15833333333333333
dimension,10,100,33,Nearest centroid,0.10416666666666663
dimension,10,100,33,Ridge,0.02083333333333337
dimension,10,100,34,L-2DLDA,0.0
dimension,10,100,34,2DLDA,0.004166666666666652
dimension,10,100,34,Nearest centroid,0.04583333333333328
dimension,10,100,34,Ridge,0.033333333333333326
dimension,10,100,35,L-2DLDA,0.0
dimension,10,100,35,2DLDA,0.08333333333333337
dimension,10,100,35,Nearest centroid,0.04583333333333328
dimension,10,100,35,Ridge,0.02083333333333337
dimension,10,100,36,L-2DLDA,0.0
dimension,10,100,36,2DLDA,0.0
dimension,10,100,36,Nearest centroid,0.01666666666666672
dimension,10,100,36,Ridge,0.004166666666666652
dimension,10,100,37,L-2DLDA,0.0
dimension,10,100,37,2DLDA,0.0
dimension,10,100,37,Nearest centroid,0.01666666666666672
dimension,10,100,37,Ridge,0.012499999999999956
dimension,10,100,38,L-2DLDA,0.0
dimension,10,100,38,2DLDA,0.025000000000000022
dimension,10,100,38,Nearest centroid,0.025000000000000022
dimension,10,100,38,Ridge,0.012499999999999956
dimension,10,100,39,L-2DLDA,0.0
dimension,10,100,39,2DLDA,0.15000000000000002
dimension,10,100,39,Nearest centroid,0.1333333333333333
dimension,10,100,39,Ridge,0.125
dimension,10,100,40,L-2DLDA,0.0
dimension,10,100,40,2DLDA,0.04583333333333328
dimension,10,100,40,Nearest centroid,0.03749999999999998
dimension,10,100,40,Ridge,0.02083333333333337
dimension,10,100,41,L-2DLDA,0.0
dimension,10,100,41,2DLDA,0.008333333333333304
dimension,10,100,41,Nearest centroid,0.012499999999999956
dimension,10,100,41,Ridge,0.029166666666666674
dimension,10,100,42,L-2DLDA,0.0
dimension,10,100,42,2DLDA,0.17083333333333328
dimension,10,100,42,Nearest centroid,0.14166666666666672
dimension,10,100,42,Ridge,0.05833333333333335
dimension,10,100,43,L-2DLDA,0.0
dimension,10,100,43,2DLDA,0.1333333333333333
dimension,10,100,43,Nearest centroid,0.09999999999999998
dimension,10,100,43,Ridge,0.02083333333333337
dimension,10,100,44,L-2DLDA,0.0
dimension,10,100,44,2DLDA,0.24583333333333335
dimension,10,100,44,Nearest centroid,0.1875
dimension,10,100,44,Ridge,0.008333333333333304
dimension,10,100,45,L-2DLDA,0.0
dimension,10,100,45,2DLDA,0.01666666666666672
dimension,10,100,45,Nearest centroid,0.029166666666666674
dimension,10,100,45,Ridge,0.050000000000000044
dimension,10,100,46,L-2DLDA,0.0
dimension,10,100,46,2DLDA,0.17500000000000004
dimension,10,100,46,Nearest centroid,0.16249999999999998
dimension,10,100,46,Ridge,0.01666666666666672
dimension,10,100,47,L-2DLDA,0.0
dimension,10,100,47,2DLDA,0.27083333333333337
dimension,10,100,47,Nearest centroid,0.22916666666666663
dimension,10,100,47,Ridge,0.125
dimension,10,100,48,L-2DLDA,0.0
dimension,10,100,48,2DLDA,0.1166666666666667
dimension,10,100,48,Nearest centroid,0.10416666666666663
dimension,10,100,48,Ridge,0.03749999999999998
dimension,10,100,49,L-2DLDA,0.0
dimension,10,100,49,2DLDA,0.12083333333333335
dimension,10,100,49,Nearest centroid,0.17083333333333328
dimension,10,100,49,Ridge,0.033333333333333326
dimension,20,400,0,L-2DLDA,0.0
dimension,20,400,0,2DLDA,0.20416666666666672
dimension,20,400,0,Nearest centroid,0.1791666666666667
dimension,20,400,0,Ridge,0.12083333333333335
dimension,20,400,1,L-2DLDA,0.0
dimension,20,400,1,2DLDA,0.41666666666666663
dimension,20,400,1,Nearest centroid,0.2583333333333333
dimension,20,400,1,Ridge,0.19999999999999996
dimension,20,400,2,L-2DLDA,0.0
dimension,20,400,2,2DLDA,0.22916666666666663
dimension,20,400,2,Nearest centroid,0.2416666666666667
dimension,20,400,2,Ridge,0.26249999999999996
dimension,20,400,3,L-2DLDA,0.0
dimension,20,400,3,2DLDA,0.2791666666666667
dimension,20,400,3,Nearest centroid,0.23333333333333328
dimension,20,400,3,Ridge,0.22499999999999998
dimension,20,400,4,L-2DLDA,0.0
dimension,20,400,4,2DLDA,0.19999999999999996
dimension,20,400,4,Nearest centroid,0.19166666666666665
dimension,20,400,4,Ridge,0.15416666666666667
dimension,20,400,5,L-2DLDA,0.0
dimension,20,400,5,2DLDA,0.3125
dimension,20,400,5,Nearest centroid,0.2666666666666667
dimension,20,400,5,Ridge,0.23333333333333328
dimension,20,400,6,L-2DLDA,0.0
dimension,20,400,6,2DLDA,0.275
dimension,20,400,6,Nearest centroid,0.2416666666666667
dimension,20,400,6,Ridge,0.25
dimension,20,400,7,L-2DLDA,0.0
dimension,20,400,7,2DLDA,0.23333333333333328
dimension,20,400,7,Nearest centroid,0.18333333333333335
dimension,20,400,7,Ridge,0.21250000000000002
dimension,20,400,8,L-2DLDA,0.0
dimension,20,400,8,2DLDA,0.2583333333333333
dimension,20,400,8,Nearest centroid,0.24583333333333335
dimension,20,400,8,Ridge,0.2583333333333333
dimension,20,400,9,L-2DLDA,0.0
dimension,20,400,9,2DLDA,0.125
dimension,20,400,9,Nearest centroid,0.1958333333333333
dimension,20,400,9,Ridge,0.21250000000000002
dimension,20,400,10,L-2DLDA,0.0
dimension,20,400,10,2DLDA,0.32499999999999996
dimension,20,400,10,Nearest centroid,0.32499999999999996
dimension,20,400,10,Ridge,0.27083333333333337
dimension,20,400,11,L-2DLDA,0.0
dimension,20,400,11,2DLDA,0.4375
dimension,20,400,11,Nearest centroid,0.3375
dimension,20,400,11,Ridge,0.2791666666666667
dimension,20,400,12,L-2DLDA,0.0
dimension,20,400,12,2DLDA,0.2416666666666667
dimension,20,400,12,Nearest centroid,0.25
dimension,20,400,12,Ridge,0.1791666666666667
dimension,20,400,13,L-2DLDA,0.0
dimension,20,400,13,2DLDA,0.1958333333333333
dimension,20,400,13,Nearest centroid,0.15416666666666667
dimension,20,400,13,Ridge,0.17083333333333328
dimension,20,400,14,L-2DLDA,0.0
dimension,20,400,14,2DLDA,0.20416666666666672
dimension,20,400,14,Nearest centroid,0.16249999999999998
dimension,20,400,14,Ridge,0.15833333333333333
dimension,20,400,15,L-2DLDA,0.0
dimension,20,400,15,2DLDA,0.3125
dimension,20,400,15,Nearest centroid,0.2958333333333333
dimension,20,400,15,Ridge,0.24583333333333335
dimension,20,400,16,L-2DLDA,0.0
dimension,20,400,16,2DLDA,0.29166666666666663
dimension,20,400,16,Nearest centroid,0.2583333333333333
dimension,20,400,16,Ridge,0.20416666666666672
dimension,20,400,17,L-2DLDA,0.0
dimension,20,400,17,2DLDA,0.3458333333333333
dimension,20,400,17,Nearest centroid,0.3125
dimension,20,400,17,Ridge,0.32499999999999996
dimension,20,400,18,L-2DLDA,0.0
dimension,20,400,18,2DLDA,0.4208333333333333
dimension,20,400,18,Nearest centroid,0.24583333333333335
dimension,20,400,18,Ridge,0.20416666666666672
dimension,20,400,19,L-2DLDA,0.0
dimension,20,400,19,2DLDA,0.3291666666666667
dimension,20,400,19,Nearest centroid,0.31666666666666665
dimension,20,400,19,Ridge,0.31666666666666665
dimension,20,400,20,L-2DLDA,0.0
dimension,20,400,20,2DLDA,0.25
dimension,20,400,20,Nearest centroid,0.19166666666666665
dimension,20,400,20,Ridge,0.1958333333333333
dimension,20,400,21,L-2DLDA,0.0
dimension,20,400,21,2DLDA,0.4
dimension,20,400,21,Nearest centroid,0.3458333333333333
dimension,20,400,21,Ridge,0.2791666666666667
dimension,20,400,22,L-2DLDA,0.0
dimension,20,400,22,2DLDA,0.2833333333333333
dimension,20,400,22,Nearest centroid,0.2583333333333333
dimension,20,400,22,Ridge,0.21666666666666667
dimension,20,400,23,L-2DLDA,0.008333333333333304
dimension,20,400,23,2DLDA,0.23333333333333328
dimension,20,400,23,Nearest centroid,0.22499999999999998
dimension,20,400,23,Ridge,0.23333333333333328
dimension,20,400,24,L-2DLDA,0.0
dimension,20,400,24,2DLDA,0.4041666666666667
dimension,20,400,24,Nearest centroid,0.2958333333333333
dimension,20,400,24,Ridge,0.2791666666666667
dimension,20,400,25,L-2DLDA,0.0
dimension,20,400,25,2DLDA,0.3666666666666667
dimension,20,400,25,Nearest centroid,0.275
dimension,20,400,25,Ridge,0.22499999999999998
dimension,20,400,26,L-2DLDA,0.0
dimension,20,400,26,2DLDA,0.30000000000000004
dimension,20,400,26,Nearest centroid,0.21250000000000002
dimension,20,400,26,Ridge,0.20416666666666672
dimension,20,400,27,L-2DLDA,0.0
dimension,20,400,27,2DLDA,0.2875
dimension,20,400,27,Nearest centroid,0.25416666666666665
dimension,20,400,27,Ridge,0.20416666666666672
dimension,20,400,28,L-2DLDA,0.0
dimension,20,400,28,2DLDA,0.2791666666666667
dimension,20,400,28,Nearest centroid,0.19999999999999996
dimension,20,400,28,Ridge,0.19166666666666665
dimension,20,400,29,L-2DLDA,0.0
dimension,20,400,29,2DLDA,0.3041666666666667
dimension,20,400,29,Nearest centroid,0.24583333333333335
dimension,20,400,29,Ridge,0.20833333333333337
dimension,20,400,30,L-2DLDA,0.0
dimension,20,400,30,2DLDA,0.32499999999999996
dimension,20,400,30,Nearest centroid,0.23750000000000004
dimension,20,400,30,Ridge,0.22916666666666663
dimension,20,400,31,L-2DLDA,0.0
dimension,20,400,31,2DLDA,0.3125
dimension,20,400,31,Nearest centroid,0.27083333333333337
dimension,20,400,31,Ridge,0.22499999999999998
dimension,20,400,32,L-2DLDA,0.0
dimension,20,400,32,2DLDA,0.15416666666666667
dimension,20,400,32,Nearest centroid,0.1791666666666667
dimension,20,400,32,Ridge,0.18333333333333335
dimension,20,400,33,L-2DLDA,0.0
dimension,20,400,33,2DLDA,0.37083333333333335
dimension,20,400,33,Nearest centroid,0.33333333333333337
dimension,20,400,33,Ridge,0.2416666666666667
dimension,20,400,34,L-2DLDA,0.0
dimension,20,400,34,2DLDA,0.3041666666666667
dimension,20,400,34,Nearest centroid,0.21666666666666667
dimension,20,400,34,Ridge,0.22499999999999998
dimension,20,400,35,L-2DLDA,0.008333333333333304
dimension,20,400,35,2DLDA,0.26249999999999996
dimension,20,400,35,Nearest centroid,0.2875
dimension,20,400,35,Ridge,0.23750000000000004
dimension,20,400,36,L-2DLDA,0.0
dimension,20,400,36,2DLDA,0.22499999999999998
dimension,20,400,36,Nearest centroid,0.15833333333333333
dimension,20,400,36,Ridge,0.14583333333333337
dimension,20,400,37,L-2DLDA,0.0
dimension,20,400,37,2DLDA,0.20416666666666672
dimension,20,400,37,Nearest centroid,0.22083333333333333
dimension,20,400,37,Ridge,0.19999999999999996
dimension,20,400,38,L-2DLDA,0.0
dimension,20,400,38,2DLDA,0.30833333333333335
dimension,20,400,38,Nearest centroid,0.29166666666666663
dimension,20,400,38,Ridge,0.30833333333333335
dimension,20,400,39,L-2DLDA,0.0
dimension,20,400,39,2DLDA,0.44999999999999996
dimension,20,400,39,Nearest centroid,0.30833333333333335
dimension,20,400,39,Ridge,0.25
dimension,20,400,40,L-2DLDA,0.0
dimension,20,400,40,2DLDA,0.2958333333333333
dimension,20,400,40,Nearest centroid,0.3041666666666667
dimension,20,400,40,Ridge,0.21666666666666667
dimension,20,400,41,L-2DLDA,0.0
dimension,20,400,41,2DLDA,0.3208333333333333
dimension,20,400,41,Nearest centroid,0.2583333333333333
dimension,20,400,41,Ridge,0.22083333333333333
dimension,20,400,42,L-2DLDA,0.0
dimension,20,400,42,2DLDA,0.3375
dimension,20,400,42,Nearest centroid,0.2791666666666667
dimension,20,400,42,Ridge,0.30000000000000004
dimension,20,400,43,L-2DLDA,0.0
dimension,20,400,43,2DLDA,0.3583333333333333
dimension,20,400,43,Nearest centroid,0.30000000000000004
dimension,20,400,43,Ridge,0.25
dimension,20,400,44,L-2DLDA,0.0
dimension,20,400,44,2DLDA,0.48750000000000004
dimension,20,400,44,Nearest centroid,0.3916666666666667
dimension,20,400,44,Ridge,0.375
dimension,20,400,45,L-2DLDA,0.0
dimension,20,400,45,2DLDA,0.3291666666666667
dimension,20,400,45,Nearest centroid,0.30833333333333335
dimension,20,400,45,Ridge,0.3208333333333333
dimension,20,400,46,L-2DLDA,0.0
dimension,20,400,46,2DLDA,0.37083333333333335
dimension,20,400,46,Nearest centroid,0.2875
dimension,20,400,46,Ridge,0.2416666666666667
dimension,20,400,47,L-2DLDA,0.0
dimension,20,400,47,2DLDA,0.4666666666666667
dimension,20,400,47,Nearest centroid,0.31666666666666665
dimension,20,400,47,Ridge,0.23333333333333328
dimension,20,400,48,L-2DLDA,0.0
dimension,20,400,48,2DLDA,0.5041666666666667
dimension,20,400,48,Nearest centroid,0.3416666666666667
dimension,20,400,48,Ridge,0.30833333333333335
dimension,20,400,49,L-2DLDA,0.0
dimension,20,400,49,2DLDA,0.32499999999999996
dimension,20,400,49,Nearest centroid,0.25416666666666665
dimension,20,400,49,Ridge,0.2833333333333333
dimension,40,1600,0,L-2DLDA,0.004166666666666652
dimension,40,1600,0,2DLDA,0.4375
dimension,40,1600,0,Nearest centroid,0.3833333333333333
dimension,40,1600,0,Ridge,0.39583333333333337
dimension,40,1600,1,L-2DLDA,0.0
dimension,40,1600,1,2DLDA,0.4125
dimension,40,1600,1,Nearest centroid,0.3208333333333333
dimension,40,1600,1,Ridge,0.3458333333333333
dimension,40,1600,2,L-2DLDA,0.04166666666666663
dimension,40,1600,2,2DLDA,0.4916666666666667
dimension,40,1600,2,Nearest centroid,0.38749999999999996
dimension,40,1600,2,Ridge,0.4125
dimension,40,1600,3,L-2DLDA,0.04583333333333328
dimension,40,1600,3,2DLDA,0.5083333333333333
dimension,40,1600,3,Nearest centroid,0.3916666666666667
dimension,40,1600,3,Ridge,0.4125
dimension,40,1600,4,L-2DLDA,0.004166666666666652
dimension,40,1600,4,2DLDA,0.4833333333333333
dimension,40,1600,4,Nearest centroid,0.41666666666666663
dimension,40,1600,4,Ridge,0.3916666666666667
dimension,40,1600,5,L-2DLDA,0.01666666666666672
dimension,40,1600,5,2DLDA,0.4083333333333333
dimension,40,1600,5,Nearest centroid,0.375
dimension,40,1600,5,Ridge,0.3833333333333333
dimension,40,1600,6,L-2DLDA,0.004166666666666652
dimension,40,1600,6,2DLDA,0.4666666666666667
dimension,40,1600,6,Nearest centroid,0.38749999999999996
dimension,40,1600,6,Ridge,0.38749999999999996
dimension,40,1600,7,L-2DLDA,0.0
dimension,40,1600,7,2DLDA,0.5458333333333334
dimension,40,1600,7,Nearest centroid,0.4125
dimension,40,1600,7,Ridge,0.44166666666666665
dimension,40,1600,8,L-2DLDA,0.0
dimension,40,1600,8,2DLDA,0.475
dimension,40,1600,8,Nearest centroid,0.3416666666666667
dimension,40,1600,8,Ridge,0.35
dimension,40,1600,9,L-2DLDA,0.004166666666666652
dimension,40,1600,9,2DLDA,0.44999999999999996
dimension,40,1600,9,Nearest centroid,0.33333333333333337
dimension,40,1600,9,Ridge,0.3666666666666667
dimension,40,1600,10,L-2DLDA,0.004166666666666652
dimension,40,1600,10,2DLDA,0.4708333333333333
dimension,40,1600,10,Nearest centroid,0.4208333333333333
dimension,40,1600,10,Ridge,0.4125
dimension,40,1600,11,L-2DLDA,0.0
dimension,40,1600,11,2DLDA,0.4625
dimension,40,1600,11,Nearest centroid,0.35416666666666663
dimension,40,1600,11,Ridge,0.375
dimension,40,1600,12,L-2DLDA,0.1791666666666667
dimension,40,1600,12,2DLDA,0.5
dimension,40,1600,12,Nearest centroid,0.3916666666666667
dimension,40,1600,12,Ridge,0.42500000000000004
dimension,40,1600,13,L-2DLDA,0.008333333333333304
dimension,40,1600,13,2DLDA,0.4458333333333333
dimension,40,1600,13,Nearest centroid,0.4125
dimension,40,1600,13,Ridge,0.41666666666666663
dimension,40,1600,14,L-2DLDA,0.0
dimension,40,1600,14,2DLDA,0.5208333333333333
dimension,40,1600,14,Nearest centroid,0.38749999999999996
dimension,40,1600,14,Ridge,0.38749999999999996
dimension,40,1600,15,L-2DLDA,0.0
dimension,40,1600,15,2DLDA,0.4833333333333333
dimension,40,1600,15,Nearest centroid,0.4125
dimension,40,1600,15,Ridge,0.4
dimension,40,1600,16,L-2DLDA,0.0
dimension,40,1600,16,2DLDA,0.4916666666666667
dimension,40,1600,16,Nearest centroid,0.3458333333333333
dimension,40,1600,16,Ridge,0.3375
dimension,40,1600,17,L-2DLDA,0.0
dimension,40,1600,17,2DLDA,0.5458333333333334
dimension,40,1600,17,Nearest centroid,0.43333333333333335
dimension,40,1600,17,Ridge,0.4291666666666667
dimension,40,1600,18,L-2DLDA,0.050000000000000044
dimension,40,1600,18,2DLDA,0.42500000000000004
dimension,40,1600,18,Nearest centroid,0.3291666666666667
dimension,40,1600,18,Ridge,0.35
dimension,40,1600,19,L-2DLDA,0.0
dimension,40,1600,19,2DLDA,0.4
dimension,40,1600,19,Nearest centroid,0.35416666666666663
dimension,40,1600,19,Ridge,0.35416666666666663
dimension,40,1600,20,L-2DLDA,0.22499999999999998
dimension,40,1600,20,2DLDA,0.5
dimension,40,1600,20,Nearest centroid,0.3666666666666667
dimension,40,1600,20,Ridge,0.4
dimension,40,1600,21,L-2DLDA,0.0
dimension,40,1600,21,2DLDA,0.49583333333333335
dimension,40,1600,21,Nearest centroid,0.37916666666666665
dimension,40,1600,21,Ridge,0.375
dimension,40,1600,22,L-2DLDA,0.04583333333333328
dimension,40,1600,22,2DLDA,0.5291666666666667
dimension,40,1600,22,Nearest centroid,0.4708333333333333
dimension,40,1600,22,Ridge,0.4541666666666667
dimension,40,1600,23,L-2DLDA,0.06666666666666665
dimension,40,1600,23,2DLDA,0.4625
dimension,40,1600,23,Nearest centroid,0.3583333333333333
dimension,40,1600,23,Ridge,0.3458333333333333
dimension,40,1600,24,L-2DLDA,0.008333333333333304
dimension,40,1600,24,2DLDA,0.4666666666666667
dimension,40,1600,24,Nearest centroid,0.35
dimension,40,1600,24,Ridge,0.3125
dimension,40,1600,25,L-2DLDA,0.0
dimension,40,1600,25,2DLDA,0.5041666666666667
dimension,40,1600,25,Nearest centroid,0.37083333333333335
dimension,40,1600,25,Ridge,0.375
dimension,40,1600,26,L-2DLDA,0.0
dimension,40,1600,26,2DLDA,0.48750000000000004
dimension,40,1600,26,Nearest centroid,0.4041666666666667
dimension,40,1600,26,Ridge,0.4208333333333333
dimension,40,1600,27,L-2DLDA,0.0
dimension,40,1600,27,2DLDA,0.48750000000000004
dimension,40,1600,27,Nearest centroid,0.44166666666666665
dimension,40,1600,27,Ridge,0.3916666666666667
dimension,40,1600,28,L-2DLDA,0.0
dimension,40,1600,28,2DLDA,0.47916666666666663
dimension,40,1600,28,Nearest centroid,0.4
dimension,40,1600,28,Ridge,0.4041666666666667
dimension,40,1600,29,L-2DLDA,0.004166666666666652
dimension,40,1600,29,2DLDA,0.48750000000000004
dimension,40,1600,29,Nearest centroid,0.37083333333333335
dimension,40,1600,29,Ridge,0.375
dimension,40,1600,30,L-2DLDA,0.033333333333333326
dimension,40,1600,30,2DLDA,0.4375
dimension,40,1600,30,Nearest centroid,0.38749999999999996
dimension,40,1600,30,Ridge,0.3666666666666667
dimension,40,1600,31,L-2DLDA,0.008333333333333304
dimension,40,1600,31,2DLDA,0.4041666666666667
dimension,40,1600,31,Nearest centroid,0.35
dimension,40,1600,31,Ridge,0.3666666666666667
dimension,40,1600,32,L-2DLDA,0.0
dimension,40,1600,32,2DLDA,0.45833333333333337
dimension,40,1600,32,Nearest centroid,0.33333333333333337
dimension,40,1600,32,Ridge,0.35416666666666663
dimension,40,1600,33,L-2DLDA,0.004166666666666652
dimension,40,1600,33,2DLDA,0.4916666666666667
dimension,40,1600,33,Nearest centroid,0.37083333333333335
dimension,40,1600,33,Ridge,0.38749999999999996
dimension,40,1600,34,L-2DLDA,0.0
dimension,40,1600,34,2DLDA,0.44999999999999996
dimension,40,1600,34,Nearest centroid,0.3583333333333333
dimension,40,1600,34,Ridge,0.3416666666666667
dimension,40,1600,35,L-2DLDA,0.004166666666666652
dimension,40,1600,35,2DLDA,0.43333333333333335
dimension,40,1600,35,Nearest centroid,0.38749999999999996
dimension,40,1600,35,Ridge,0.3916666666666667
dimension,40,1600,36,L-2DLDA,0.0
dimension,40,1600,36,2DLDA,0.4291666666666667
dimension,40,1600,36,Nearest centroid,0.3916666666666667
dimension,40,1600,36,Ridge,0.4
dimension,40,1600,37,L-2DLDA,0.0
dimension,40,1600,37,2DLDA,0.5
dimension,40,1600,37,Nearest centroid,0.42500000000000004
dimension,40,1600,37,Ridge,0.4041666666666667
dimension,40,1600,38,L-2DLDA,0.08333333333333337
dimension,40,1600,38,2DLDA,0.47916666666666663
dimension,40,1600,38,Nearest centroid,0.3833333333333333
dimension,40,1600,38,Ridge,0.3583333333333333
dimension,40,1600,39,L-2DLDA,0.004166666666666652
dimension,40,1600,39,2DLDA,0.5208333333333333
dimension,40,1600,39,Nearest centroid,0.33333333333333337
dimension,40,1600,39,Ridge,0.3125
dimension,40,1600,40,L-2DLDA,0.0
dimension,40,1600,40,2DLDA,0.39583333333333337
dimension,40,1600,40,Nearest centroid,0.35
dimension,40,1600,40,Ridge,0.3916666666666667
dimension,40,1600,41,L-2DLDA,0.025000000000000022
dimension,40,1600,41,2DLDA,0.42500000000000004
dimension,40,1600,41,Nearest centroid,0.3666666666666667
dimension,40,1600,41,Ridge,0.35416666666666663
dimension,40,1600,42,L-2DLDA,0.025000000000000022
